epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.313,1.89381,1.62768,1.19178,0.7261,0.43442,0.4899,0.23845,1.6993,1.04118,1.08507,0.000665631,0.000665631,0.000665631
2,610.061,1.7308,1.11824,1.10415,0.74441,0.44996,0.51679,0.25638,1.6373,0.9862,1.07785,0.0012004,0.0012004,0.0012004
3,869.353,1.68089,1.03474,1.09017,0.75122,0.47271,0.5412,0.26898,1.62073,0.96216,1.07985,0.00160317,0.00160317,0.00160317
4,1126.75,1.64422,0.98446,1.07631,0.77768,0.48897,0.56152,0.28738,1.56534,0.8996,1.05221,0.001406,0.001406,0.001406
5,1410.22,1.58631,0.91747,1.05672,0.77335,0.47796,0.55019,0.28184,1.5619,0.86837,1.04408,0.001208,0.001208,0.001208
6,1681.33,1.56014,0.86897,1.04469,0.792,0.51037,0.58924,0.3074,1.49739,0.82625,1.02932,0.00101,0.00101,0.00101
7,1962.04,1.53163,0.83855,1.03535,0.78949,0.51738,0.59648,0.31141,1.50461,0.78541,1.02767,0.000812,0.000812,0.000812
8,2252.23,1.50311,0.80426,1.02301,0.80325,0.52858,0.60941,0.32105,1.46081,0.75756,1.01182,0.000614,0.000614,0.000614
9,2524.73,1.47595,0.77328,1.01422,0.80076,0.54056,0.61957,0.32856,1.44861,0.73636,1.00892,0.000416,0.000416,0.000416
10,2792.34,1.45265,0.74846,1.00712,0.81646,0.54389,0.63084,0.33898,1.42574,0.71167,1.00009,0.000218,0.000218,0.000218
